name;type;description;build_date;heritage;wikipedia;religion;denomination;ref_mhs;city;department;region;latitude;longitude
Le 48e Mobile;memorial;;;;;;;;Lille;Nord;Hauts-de-France;50.6451172925096;3.05044207378455
Abraham Sporer;memorial;;2026-02-05;;;;;;Lille;Nord;Hauts-de-France;50.6346361416863;3.06773561641214
Statue de Faidherbe;memorial;;;3;;;;PA00107726;Lille;Nord;Hauts-de-France;50.631971103772;3.0618483759641
Plaque commémorative en hommage aux 24 cheminots;memorial;Plaque commémorative en hommage aux 24 cheminots qui ont sauvé 34 juifs dont 21 enfants de la Rafle du 11 septembre 1942;2016-09-11;;;;;;Lille;Nord;Hauts-de-France;50.6257659926529;3.08826775878791
;advertising;;;;;;;;Lille;Nord;Hauts-de-France;50.6396872441767;3.06915249332459
;memorial;Stèle rappelant la rattachement de la commune de Wazemmes à Lille en 1858.;;;;;;;Lille;Nord;Hauts-de-France;50.6302092395252;3.0563125911292
;fountain;;;;;;;;Lille;Nord;Hauts-de-France;50.6037319808665;3.04668488568703
Église Saint-Maurice;place_of_worship;Église Saint-Maurice : classement par liste de 1840;;2;fr:Église Saint-Maurice de Lille;christian;catholic;PA00107582;Lille;Nord;Hauts-de-France;50.6359057495757;3.06757474648422
;fountain;;;;;;;;Lille;Nord;Hauts-de-France;50.6311933587768;3.06154734111817
;fountain;;;;;;;;Lille;Nord;Hauts-de-France;50.6311169996389;3.06149394839494
David;memorial;;2023-10-27;;;;;;Lille;Nord;Hauts-de-France;50.6167520939801;3.03404589771071
Mosquée de Lille el Forkane;place_of_worship;;;;;muslim;sunni;;Lille;Nord;Hauts-de-France;50.6418101932593;3.0914620454973
Georges Renard;memorial;;2026-02-06;;;;;;Lille;Nord;Hauts-de-France;50.6318426209966;3.07224642142401
Paula Sporer;memorial;;2026-02-05;;;;;;Lille;Nord;Hauts-de-France;50.634632872744;3.06773997500179
Fanny Lambek;memorial;;2026-02-05;;;;;;Lille;Nord;Hauts-de-France;50.6332371182276;3.06396568782179
Le Marteau-Pilon;industrial;;1870-01-01;;fr:Liste des propriétés communales, services et écoles d’Hellemmes#Le Marteau-Pilon;;;;Lille;Nord;Hauts-de-France;50.6250641988957;3.101520114428
;memorial;;;;;;;;Lille;Nord;Hauts-de-France;50.6233354997727;3.10841383274662
Philoméne VAN EYDE;memorial;;;;;;;;Lille;Nord;Hauts-de-France;50.639872735694;3.07163588359683
Violette Silberstein;memorial;;2026-02-05;;;;;;Lille;Nord;Hauts-de-France;50.6354230347562;3.0963825307073
Sisia Tobias;memorial;;2024-09-20;;;;;;Lille;Nord;Hauts-de-France;50.6297308843111;3.05554388678917
Esther Tobias née Israël;memorial;;2024-09-20;;;;;;Lille;Nord;Hauts-de-France;50.6297302975779;3.05554246186563
Synagogue;place_of_worship;;;3;fr:Synagogue de Lille;jewish;;PA00107727;Lille;Nord;Hauts-de-France;50.6285986464694;3.06562873830127
Église Protestante Unie de France;place_of_worship;;;;;christian;protestant;;Lille;Nord;Hauts-de-France;50.6330327237757;3.09241931316397
Vieille Bourse;yes;;;2;fr:Vieille Bourse;;;PA00107569;Lille;Nord;Hauts-de-France;50.6370462967759;3.06428114232538
Église Notre-Dame des Victoires;place_of_worship;;1937-01-01;;;christian;catholic;;Lille;Nord;Hauts-de-France;50.619038398423;3.02742137860931
Église Evangelique;place_of_worship;;;;;christian;evangelical;;Lille;Nord;Hauts-de-France;50.6291569754008;3.10309065163608
Monument à Louise de Bettignies et aux femmes héroïques des pays envahis;monument;;;;;;;;Lille;Nord;Hauts-de-France;50.641592366949;3.07079962111723
;fountain;;;;;;;;Lille;Nord;Hauts-de-France;50.6455992519421;2.9850430286445
Jardin du souvenir;wayside_shrine;;;;;multifaith;;;Lille;Nord;Hauts-de-France;50.6444292220781;3.07890793897116
Gisza Kurcbard née Arman;memorial;;2024-09-30;;;;;;Lille;Nord;Hauts-de-France;50.6350201166707;3.07199806563295
Église Notre-Dame de la Visitation;place_of_worship;;;;;christian;catholic;;Lille;Nord;Hauts-de-France;50.6458117092338;2.98520253558887
Chapelle de la famille Gonnet, située au cimetière de l'Est;wayside_shrine;La chapelle en totalité, ainsi que sa grille de clôture, section 024, face à 023, tombe n° 2 (cad. AH 74) : inscription par arrêté du 19 avril 2006;;3;;christian;;PA59000126;Lille;Nord;Hauts-de-France;50.6434293448485;3.08105513110712
Mosquée Es-Salam;place_of_worship;;;;;muslim;sunni;;Lille;Nord;Hauts-de-France;50.6205466062271;3.07446213837328
Église Sainte-Marie-Madeleine;building;;1676-01-01;2;fr:Église Sainte-Marie-Madeleine de Lille;christian;roman_catholic;PA00107581;Lille;Nord;Hauts-de-France;50.6447994644452;3.06320603355178
Église Saint-Charles;place_of_worship;;;;;christian;catholic;;Lille;Nord;Hauts-de-France;50.6315730209346;3.02582859115068
Oscar Sporer;memorial;;2026-02-05;;;;;;Lille;Nord;Hauts-de-France;50.6346349682198;3.06773645460245
Lipa Lambig;memorial;;2023-05-12;;;;;;Lille;Nord;Hauts-de-France;50.6321059803943;3.05730886414042
;memorial;;;;;;;;Lille;Nord;Hauts-de-France;50.6369012671999;3.06343754410284
;place_of_worship;;;;;muslim;sunni;;Lille;Nord;Hauts-de-France;50.6230458584948;3.0574715188083
Monument au Maréchal Foch;memorial;;;;;;;;Lille;Nord;Hauts-de-France;50.635926870956;3.05661769240473
Rosalie Silberstein née Mayer;memorial;;2026-02-05;;;;;;Lille;Nord;Hauts-de-France;50.6354230347562;3.096384374726
Palais Rihour;castle;Palais Rihour (vestiges : salle du conclave près de l'ancien Hôtel de Ville) : classement par liste de 1875;;2;fr:Palais Rihour;;;PA00107721;Lille;Nord;Hauts-de-France;50.6355268824311;3.06195829486251
Christ Church Lille;place_of_worship;;;;;christian;anglican;;Lille;Nord;Hauts-de-France;50.6301480226787;3.06619301455614
Porte de Paris;monument;;;;;;;;Lille;Nord;Hauts-de-France;50.6296581293915;3.06880145921969
;fountain;;;;;;;;Lille;Nord;Hauts-de-France;50.631159495888;3.06148137554018
;fountain;;;;;;;;Lille;Nord;Hauts-de-France;50.6311440731861;3.06147944770245
La chapelle Notre-Dame d'Annay;place_of_worship;;;;fr:Liste des édifices religieux de Lille;christian;catholic;;Lille;Nord;Hauts-de-France;50.6423569632144;3.06016507791301
Riwka Rozenpik née Szermann;memorial;;2024-06-14;;;;;;Lille;Nord;Hauts-de-France;50.6331612620039;3.05671156972028
Église Saint-Pierre Saint-Paul;place_of_worship;;1857-01-01;;;christian;catholic;;Lille;Nord;Hauts-de-France;50.6261461056055;3.05086052173635
Église Saint-Philibert;place_of_worship;;;;;christian;catholic;;Lille;Nord;Hauts-de-France;50.6112601134192;3.06981750523228
Betty Sporer;memorial;;2026-02-05;;;;;;Lille;Nord;Hauts-de-France;50.6346311963634;3.06773905299244
Liebe Lambek;memorial;;2026-02-05;;;;;;Lille;Nord;Hauts-de-France;50.6332386269702;3.06396585545986
;memorial;;;;;;;;Lille;Nord;Hauts-de-France;50.6301872789389;3.11300594017615
Fontaine mauresque;fountain;;;;;;;;Lille;Nord;Hauts-de-France;50.6267653669683;3.05101313284777
;fountain;;;;;;;;Lille;Nord;Hauts-de-France;50.6311831328549;3.0615059345165
Mosquée Assounna;place_of_worship;;;;;muslim;sunni;;Lille;Nord;Hauts-de-France;50.6200252174743;3.04892853034215
;fountain;;;;;;;;Lille;Nord;Hauts-de-France;50.6311724878379;3.06148992508142
;yes;;;;;;;;Lille;Nord;Hauts-de-France;50.6296335329214;3.06881022628086
;memorial;;;;;;;;Lille;Nord;Hauts-de-France;50.6158183275429;3.07823326996736
La Rolande;ship;;1934-01-01;3;;;;PM59001602;Lille;Nord;Hauts-de-France;50.6380215020899;3.03648390060924
Max Sporer;memorial;;2026-02-05;;;;;;Lille;Nord;Hauts-de-France;50.6346365607815;3.06773746043083
Maurice Swierc;memorial;;2023-05-12;;;;;;Lille;Nord;Hauts-de-France;50.6338386874184;3.06802764191872
Liliane Rozenpik;memorial;;2024-06-14;;;;;;Lille;Nord;Hauts-de-France;50.6331619325561;3.05671014479674
À Jean Jaurès;memorial;;;;;;;;Lille;Nord;Hauts-de-France;50.6400580595731;3.0152891262461
Usine élévatoire de Saint-André;industrial;Ensemble des bâtiments de l'usine, y compris le mur de clôture et la rigole d'assèchement (cad. TC 8) : inscription par arrêté du 31 décembre 1999;1876-01-01;3;;;;PA59000044;Lille;Nord;Hauts-de-France;50.6484319172733;3.06054163679478
Chapelle d'Élocques;place_of_worship;;;;;christian;catholic;;Lille;Nord;Hauts-de-France;50.6341368777142;3.10295611636814
Mosquée Al Imane;place_of_worship;;;;fr:Mosquée Al-Imane de Lille;muslim;sunni;;Lille;Nord;Hauts-de-France;50.613440813964;3.06126869887602
Chapelle de l'université catholique de Lille;place_of_worship;;;;;christian;catholic;;Lille;Nord;Hauts-de-France;50.6327193939345;3.04619065383941
;fountain;;;;;;;;Lille;Nord;Hauts-de-France;50.6365985966763;3.06002175092155
Joseph Sporer;memorial;;2026-02-05;;;;;;Lille;Nord;Hauts-de-France;50.634635387315;3.06773829862115
Liliane Rozenpik;memorial;;2024-06-14;;;;;;Lille;Nord;Hauts-de-France;50.6331619325561;3.05671014479674
;fountain;;1989-01-01;;;;;;Lille;Nord;Hauts-de-France;50.6369027237529;3.06343827604313
Église évangélique baptiste de toutes les nations;place_of_worship;;;;;christian;baptist;;Lille;Nord;Hauts-de-France;50.6342708360681;3.03021110301114
Esther Tobias née Israël;memorial;;2024-09-20;;;;;;Lille;Nord;Hauts-de-France;50.6297302975779;3.05554246186563
Sisia Tobias;memorial;;2024-09-20;;;;;;Lille;Nord;Hauts-de-France;50.6297308843111;3.05554388678917
;place_of_worship;;1670-01-01;;;christian;;;Lille;Nord;Hauts-de-France;50.6415012174508;3.04379505075025
Jonas Radoszycki;memorial;;2024-09-11;;;;;;Lille;Nord;Hauts-de-France;50.6284070465239;3.05391561827869
Jean Lavaud;memorial;;2026-02-06;;;;;;Lille;Nord;Hauts-de-France;50.6387316233959;3.06551005348152
Notre-Dame de Pellevoisin;place_of_worship;;1911-01-01;;fr:Église Notre-Dame-de-Pellevoisin de Lille;christian;catholic;;Lille;Nord;Hauts-de-France;50.6500810918213;3.09123867469962
Temple protestant;place_of_worship;;;3;fr:Temple protestant de Lille;christian;protestant;PA59000172;Lille;Nord;Hauts-de-France;50.6283236480745;3.06503904053638
;memorial;;;;;;;;Lille;Nord;Hauts-de-France;50.6343586168722;3.09754694469615
Moulin Saint-Pierre;ruins;;;;;;;;Lille;Nord;Hauts-de-France;50.6408853013834;3.06358733991179
;memorial;;;;;;;;Lille;Nord;Hauts-de-France;50.6355642698247;3.06215544819341
Église de la Trompette;place_of_worship;;;;;christian;evangelical;;Lille;Nord;Hauts-de-France;50.6076880303498;3.04417604652991
Au pigeon voyageur;memorial;;1936-01-01;;;;;;Lille;Nord;Hauts-de-France;50.6383242912375;3.05040179337933
Beila Komar née Galicka;memorial;;2024-09-30;;;;;;Lille;Nord;Hauts-de-France;50.6291793550823;3.06338339700832
Église Notre-Dame-de-Lourdes;place_of_worship;;;;;christian;catholic;;Lille;Nord;Hauts-de-France;50.6313721259055;3.00600144903423
Mosquée Ennour;place_of_worship;;;;;muslim;sunni;;Lille;Nord;Hauts-de-France;50.6474823645882;3.00248576991719
Église Adventiste;place_of_worship;;;;;christian;seventh_day_adventist;;Lille;Nord;Hauts-de-France;50.6379142962732;3.06285709512954
Mémorial De Gaulle;memorial;;;;;;;;Lille;Nord;Hauts-de-France;50.6373090467893;3.05131253442912
Église Sainte-Marie-Madeleine;place_of_worship;;;3;;christian;roman_catholic;PA00107571;Lille;Nord;Hauts-de-France;50.6434136706896;3.06676574639593
Bernard Teichler;memorial;;2023-05-12;;;;;;Lille;Nord;Hauts-de-France;50.6371679793589;3.06824029080221
Mosquée Badr;place_of_worship;;;;;muslim;sunni;;Lille;Nord;Hauts-de-France;50.6192553195897;3.06420514277146
Rue des Stations Notre-Dame;memorial;;;;;;;;Lille;Nord;Hauts-de-France;50.6315817761699;3.05381947784929
Beffroi de Lille;tower;Inscrit au patrimoine mondial de l'UNESCO, le beffroi de l'Hôtel de Ville domine Lille du haut de ses 104 mètres ! Une fois les 100 premières marches gravies, montez en ascenseur (ou à pied pour les plus courageux) jusqu'au sommet du beffroi...;;1;fr:Beffroi de Lille;;;;Lille;Nord;Hauts-de-France;50.6306209602414;3.06980827260665
Jonas Radoszycki;memorial;;2024-09-11;;;;;;Lille;Nord;Hauts-de-France;50.6284070465239;3.05391561827869
